Size,Type,InstanceID,Repetition,Algorithm,Threads,TimeMS
25,strongly_correlated,48,0,Parallel,4,14.2793
25,strongly_correlated,48,0,Parallel,6,8.9029
25,strongly_correlated,48,0,Parallel,12,13.529
25,strongly_correlated,49,0,SequentialOptimized,1,0.1443
25,strongly_correlated,49,0,Parallel,4,0.5456
25,strongly_correlated,49,0,Parallel,6,1.3658
25,strongly_correlated,49,0,Parallel,12,2.2391
30,strongly_correlated,0,0,SequentialOptimized,1,0.3431
30,strongly_correlated,0,0,Parallel,4,0.7046
30,strongly_correlated,0,0,Parallel,6,0.4422
30,strongly_correlated,0,0,Parallel,12,0.8801
30,strongly_correlated,1,0,SequentialOptimized,1,2.3361
30,strongly_correlated,1,0,Parallel,4,1.1993
30,strongly_correlated,1,0,Parallel,6,0.8927
30,strongly_correlated,1,0,Parallel,12,1.3566
30,strongly_correlated,2,0,SequentialOptimized,1,0.4607
30,strongly_correlated,2,0,Parallel,4,1.1108
30,strongly_correlated,2,0,Parallel,6,1.1113
30,strongly_correlated,2,0,Parallel,12,1.2415
30,strongly_correlated,3,0,SequentialOptimized,1,81.4248
30,strongly_correlated,3,0,Parallel,4,23.232
30,strongly_correlated,3,0,Parallel,6,16.3155
30,strongly_correlated,3,0,Parallel,12,11.1351
30,strongly_correlated,4,0,SequentialOptimized,1,0.1759
30,strongly_correlated,4,0,Parallel,4,0.5361
30,strongly_correlated,4,0,Parallel,6,0.4127
30,strongly_correlated,4,0,Parallel,12,0.6302
30,strongly_correlated,5,0,SequentialOptimized,1,0.1377
30,strongly_correlated,5,0,Parallel,4,0.8462
30,strongly_correlated,5,0,Parallel,6,0.8322
30,strongly_correlated,5,0,Parallel,12,1.2106
30,strongly_correlated,6,0,SequentialOptimized,1,0.9938
30,strongly_correlated,6,0,Parallel,4,0.8594
30,strongly_correlated,6,0,Parallel,6,0.6726
30,strongly_correlated,6,0,Parallel,12,1.1572
30,strongly_correlated,7,0,SequentialOptimized,1,3.1584
30,strongly_correlated,7,0,Parallel,4,1.7651
30,strongly_correlated,7,0,Parallel,6,1.6328
30,strongly_correlated,7,0,Parallel,12,2.6939
30,strongly_correlated,8,0,SequentialOptimized,1,0.6514
30,strongly_correlated,8,0,Parallel,4,1.8535
30,strongly_correlated,8,0,Parallel,6,1.4236
30,strongly_correlated,8,0,Parallel,12,3.5797
30,strongly_correlated,9,0,SequentialOptimized,1,0.3534
30,strongly_correlated,9,0,Parallel,4,2.7536
30,strongly_correlated,9,0,Parallel,6,0.779
30,strongly_correlated,9,0,Parallel,12,0.8188
30,strongly_correlated,10,0,SequentialOptimized,1,0.4761
30,strongly_correlated,10,0,Parallel,4,1.0448
30,strongly_correlated,10,0,Parallel,6,0.67
30,strongly_correlated,10,0,Parallel,12,5.0051
30,strongly_correlated,11,0,SequentialOptimized,1,3.4604
30,strongly_correlated,11,0,Parallel,4,2.0581
30,strongly_correlated,11,0,Parallel,6,5.5084
30,strongly_correlated,11,0,Parallel,12,3.082
30,strongly_correlated,12,0,SequentialOptimized,1,0.1092
30,strongly_correlated,12,0,Parallel,4,0.5767
30,strongly_correlated,12,0,Parallel,6,0.4167
30,strongly_correlated,12,0,Parallel,12,0.7513
30,strongly_correlated,13,0,SequentialOptimized,1,0.8002
30,strongly_correlated,13,0,Parallel,4,0.7145
30,strongly_correlated,13,0,Parallel,6,0.4669
30,strongly_correlated,13,0,Parallel,12,0.6793
30,strongly_correlated,14,0,SequentialOptimized,1,195.269
30,strongly_correlated,14,0,Parallel,4,53.5884
30,strongly_correlated,14,0,Parallel,6,36.5646
30,strongly_correlated,14,0,Parallel,12,24.5473
30,strongly_correlated,15,0,SequentialOptimized,1,0.067
30,strongly_correlated,15,0,Parallel,4,0.6
30,strongly_correlated,15,0,Parallel,6,0.6024
30,strongly_correlated,15,0,Parallel,12,2.5259
30,strongly_correlated,16,0,SequentialOptimized,1,0.0281
30,strongly_correlated,16,0,Parallel,4,0.5277
30,strongly_correlated,16,0,Parallel,6,0.3782
30,strongly_correlated,16,0,Parallel,12,0.6502
30,strongly_correlated,17,0,SequentialOptimized,1,0.0889
30,strongly_correlated,17,0,Parallel,4,1.0697
30,strongly_correlated,17,0,Parallel,6,0.614
30,strongly_correlated,17,0,Parallel,12,1.6208
30,strongly_correlated,18,0,SequentialOptimized,1,0.8237
30,strongly_correlated,18,0,Parallel,4,0.783
30,strongly_correlated,18,0,Parallel,6,0.5669
30,strongly_correlated,18,0,Parallel,12,1.0668
30,strongly_correlated,19,0,SequentialOptimized,1,0.043
30,strongly_correlated,19,0,Parallel,4,0.4777
30,strongly_correlated,19,0,Parallel,6,0.3288
30,strongly_correlated,19,0,Parallel,12,0.5759
30,strongly_correlated,20,0,SequentialOptimized,1,0.0304
30,strongly_correlated,20,0,Parallel,4,0.5014
30,strongly_correlated,20,0,Parallel,6,0.2957
30,strongly_correlated,20,0,Parallel,12,0.5832
30,strongly_correlated,21,0,SequentialOptimized,1,0.0418
30,strongly_correlated,21,0,Parallel,4,0.4914
30,strongly_correlated,21,0,Parallel,6,0.2923
30,strongly_correlated,21,0,Parallel,12,0.626
30,strongly_correlated,22,0,SequentialOptimized,1,0.1577
30,strongly_correlated,22,0,Parallel,4,1.2336
30,strongly_correlated,22,0,Parallel,6,0.7576
30,strongly_correlated,22,0,Parallel,12,8.0475
30,strongly_correlated,23,0,SequentialOptimized,1,13.1862
30,strongly_correlated,23,0,Parallel,4,4.2211
30,strongly_correlated,23,0,Parallel,6,3.1067
30,strongly_correlated,23,0,Parallel,12,2.4319
30,strongly_correlated,24,0,SequentialOptimized,1,0.1995
30,strongly_correlated,24,0,Parallel,4,0.5513
30,strongly_correlated,24,0,Parallel,6,0.3735
30,strongly_correlated,24,0,Parallel,12,0.6286
30,strongly_correlated,25,0,SequentialOptimized,1,4.6144
30,strongly_correlated,25,0,Parallel,4,1.9637
30,strongly_correlated,25,0,Parallel,6,2.127
30,strongly_correlated,25,0,Parallel,12,7.1576
30,strongly_correlated,26,0,SequentialOptimized,1,0.1312
30,strongly_correlated,26,0,Parallel,4,0.5197
30,strongly_correlated,26,0,Parallel,6,0.3322
30,strongly_correlated,26,0,Parallel,12,0.806
30,strongly_correlated,27,0,SequentialOptimized,1,0.1049
30,strongly_correlated,27,0,Parallel,4,0.4603
30,strongly_correlated,27,0,Parallel,6,0.6261
30,strongly_correlated,27,0,Parallel,12,0.6104
30,strongly_correlated,28,0,SequentialOptimized,1,0.75
30,strongly_correlated,28,0,Parallel,4,0.8755
30,strongly_correlated,28,0,Parallel,6,0.6958
30,strongly_correlated,28,0,Parallel,12,1.1522
30,strongly_correlated,29,0,SequentialOptimized,1,2.4102
30,strongly_correlated,29,0,Parallel,4,1.1686
30,strongly_correlated,29,0,Parallel,6,0.9332
30,strongly_correlated,29,0,Parallel,12,1.6313
30,strongly_correlated,30,0,SequentialOptimized,1,6.7036
30,strongly_correlated,30,0,Parallel,4,2.6763
30,strongly_correlated,30,0,Parallel,6,1.8165
30,strongly_correlated,30,0,Parallel,12,1.6915
30,strongly_correlated,31,0,SequentialOptimized,1,4.7278
30,strongly_correlated,31,0,Parallel,4,1.9231
30,strongly_correlated,31,0,Parallel,6,1.5276
30,strongly_correlated,31,0,Parallel,12,2.2075
30,strongly_correlated,32,0,SequentialOptimized,1,2.0573
30,strongly_correlated,32,0,Parallel,4,1.2345
30,strongly_correlated,32,0,Parallel,6,1.0368
30,strongly_correlated,32,0,Parallel,12,1.6602
30,strongly_correlated,33,0,SequentialOptimized,1,0.4167
30,strongly_correlated,33,0,Parallel,4,0.5672
30,strongly_correlated,33,0,Parallel,6,2.8024
30,strongly_correlated,33,0,Parallel,12,1.0013
30,strongly_correlated,34,0,SequentialOptimized,1,0.005
30,strongly_correlated,34,0,Parallel,4,0.5684
30,strongly_correlated,34,0,Parallel,6,0.3004
30,strongly_correlated,34,0,Parallel,12,0.5921
30,strongly_correlated,35,0,SequentialOptimized,1,0.1038
30,strongly_correlated,35,0,Parallel,4,0.4982
30,strongly_correlated,35,0,Parallel,6,0.3144
30,strongly_correlated,35,0,Parallel,12,0.8608
30,strongly_correlated,36,0,SequentialOptimized,1,0.9391
30,strongly_correlated,36,0,Parallel,4,0.7832
30,strongly_correlated,36,0,Parallel,6,0.979
30,strongly_correlated,36,0,Parallel,12,1.0632
30,strongly_correlated,37,0,SequentialOptimized,1,0.2646
30,strongly_correlated,37,0,Parallel,4,0.7977
30,strongly_correlated,37,0,Parallel,6,0.6157
30,strongly_correlated,37,0,Parallel,12,1.0871
30,strongly_correlated,38,0,SequentialOptimized,1,0.129
30,strongly_correlated,38,0,Parallel,4,0.6197
30,strongly_correlated,38,0,Parallel,6,0.3015
